사고유형대분류,사고유형,월,발생건수,사망자수,부상자수,중상,경상,부상신고
차대사람,횡단중,01월,1667,88,1707,917,720,70
차대사람,횡단중,02월,1511,62,1533,760,713,60
차대사람,횡단중,03월,1599,76,1629,798,751,80
차대사람,횡단중,04월,1544,62,1578,766,750,62
차대사람,횡단중,05월,1495,46,1573,739,774,60
차대사람,횡단중,06월,1357,37,1406,691,659,56
차대사람,횡단중,07월,1332,54,1360,688,625,47
차대사람,횡단중,08월,1373,69,1396,705,634,57
차대사람,횡단중,09월,1504,71,1527,764,696,67
차대사람,횡단중,10월,1741,89,1747,891,790,66
차대사람,횡단중,11월,1622,56,1680,867,747,66
차대사람,횡단중,12월,1645,84,1659,817,776,66
차대사람,차도통행중,01월,407,19,410,182,211,17
차대사람,차도통행중,02월,379,13,376,159,195,22
차대사람,차도통행중,03월,417,17,418,181,210,27
차대사람,차도통행중,04월,387,15,395,150,219,26
차대사람,차도통행중,05월,423,13,432,165,233,34
차대사람,차도통행중,06월,379,11,382,146,214,22
차대사람,차도통행중,07월,349,17,349,119,210,20
차대사람,차도통행중,08월,354,16,349,137,191,21
차대사람,차도통행중,09월,376,19,374,152,203,19
차대사람,차도통행중,10월,415,25,403,172,215,16
차대사람,차도통행중,11월,433,15,434,172,234,28
차대사람,차도통행중,12월,423,25,417,153,240,24
차대사람,길가장자리구역통행중,01월,262,10,258,93,151,14
차대사람,길가장자리구역통행중,02월,285,7,288,89,176,23
차대사람,길가장자리구역통행중,03월,293,2,313,108,184,21
차대사람,길가장자리구역통행중,04월,320,6,326,100,196,30
차대사람,길가장자리구역통행중,05월,298,5,311,93,195,23
차대사람,길가장자리구역통행중,06월,259,4,265,68,173,24
차대사람,길가장자리구역통행중,07월,228,7,238,66,141,31
차대사람,길가장자리구역통행중,08월,235,5,244,70,156,18
차대사람,길가장자리구역통행중,09월,257,6,260,83,149,28
차대사람,길가장자리구역통행중,10월,255,4,266,78,168,20
차대사람,길가장자리구역통행중,11월,249,7,249,87,142,20
차대사람,길가장자리구역통행중,12월,255,6,252,78,158,16
차대사람,보도통행중,01월,177,5,182,85,85,12
차대사람,보도통행중,02월,172,3,186,78,102,6
차대사람,보도통행중,03월,202,6,207,81,113,13
차대사람,보도통행중,04월,197,1,204,82,110,12
차대사람,보도통행중,05월,174,0,195,62,116,17
차대사람,보도통행중,06월,183,3,193,67,109,17
차대사람,보도통행중,07월,182,2,193,61,120,12
차대사람,보도통행중,08월,150,7,156,58,85,13
차대사람,보도통행중,09월,170,4,200,85,105,10
차대사람,보도통행중,10월,195,5,206,84,107,15
차대사람,보도통행중,11월,209,2,214,70,128,16
차대사람,보도통행중,12월,183,3,194,80,101,13
차대사람,기타,01월,1216,22,1263,494,689,80
차대사람,기타,02월,1163,30,1192,461,669,62
차대사람,기타,03월,1321,24,1385,492,789,104
차대사람,기타,04월,1433,22,1482,513,866,103
차대사람,기타,05월,1468,25,1527,553,856,118
차대사람,기타,06월,1474,26,1526,563,847,116
차대사람,기타,07월,1345,22,1410,497,798,115
차대사람,기타,08월,1302,33,1348,465,781,102
차대사람,기타,09월,1441,36,1475,517,848,110
차대사람,기타,10월,1545,28,1594,612,864,118
차대사람,기타,11월,1516,33,1567,560,899,108
차대사람,기타,12월,1502,33,1553,592,844,117
차대차,정면충돌,01월,606,24,1105,323,719,63
차대차,정면충돌,02월,501,19,922,273,597,52
차대차,정면충돌,03월,479,24,837,270,531,36
차대차,정면충돌,04월,481,10,872,293,545,34
차대차,정면충돌,05월,583,27,1098,380,671,47
차대차,정면충돌,06월,520,17,907,305,547,55
차대차,정면충돌,07월,536,20,987,326,601,60
차대차,정면충돌,08월,570,28,1083,345,689,49
차대차,정면충돌,09월,558,17,1011,315,650,46
차대차,정면충돌,10월,610,10,1027,321,652,54
차대차,정면충돌,11월,556,14,944,311,598,35
차대차,정면충돌,12월,554,24,957,288,624,45
차대차,측면충돌,01월,5560,28,8871,1623,6748,500
차대차,측면충돌,02월,5566,34,9048,1792,6657,599
차대차,측면충돌,03월,5987,46,9500,1984,6961,555
차대차,측면충돌,04월,6445,56,10204,2110,7442,652
차대차,측면충돌,05월,6650,54,10553,2304,7534,715
차대차,측면충돌,06월,6577,39,10377,2263,7437,677
차대차,측면충돌,07월,6814,49,10784,2140,7927,717
차대차,측면충돌,08월,6655,52,10669,2156,7793,720
차대차,측면충돌,09월,6463,55,10442,2141,7635,666
차대차,측면충돌,10월,6747,56,10402,2158,7597,647
차대차,측면충돌,11월,6587,45,10215,2099,7474,642
차대차,측면충돌,12월,6183,31,9639,1652,7343,644
차대차,후진중충돌,01월,161,0,222,19,195,8
차대차,후진중충돌,02월,168,0,241,18,208,15
차대차,후진중충돌,03월,208,0,289,30,247,12
차대차,후진중충돌,04월,202,0,275,25,242,8
차대차,후진중충돌,05월,223,0,308,22,281,5
차대차,후진중충돌,06월,202,0,274,28,231,15
차대차,후진중충돌,07월,251,0,339,35,295,9
차대차,후진중충돌,08월,235,0,331,26,288,17
차대차,후진중충돌,09월,210,0,295,32,257,6
차대차,후진중충돌,10월,222,0,314,26,278,10
차대차,후진중충돌,11월,218,0,293,22,255,16
차대차,후진중충돌,12월,217,2,282,24,250,8
차대차,추돌,01월,3315,37,6185,872,4953,360
차대차,추돌,02월,3109,31,5900,845,4736,319
차대차,추돌,03월,2928,30,5320,840,4212,268
차대차,추돌,04월,2962,29,5599,843,4403,353
차대차,추돌,05월,3126,25,5889,875,4682,332
차대차,추돌,06월,2761,29,5077,775,3994,308
차대차,추돌,07월,3124,29,5945,916,4692,337
차대차,추돌,08월,2997,47,5758,843,4559,356
차대차,추돌,09월,3100,45,6029,946,4749,334
차대차,추돌,10월,3343,45,6316,946,5020,350
차대차,추돌,11월,3012,30,5660,885,4452,323
차대차,추돌,12월,2838,27,5466,806,4336,324
차대차,기타,01월,2931,20,4319,794,3194,331
차대차,기타,02월,2624,17,4108,735,3083,290
차대차,기타,03월,2783,26,4175,776,3075,324
차대차,기타,04월,3146,21,4723,949,3385,389
차대차,기타,05월,3299,29,4912,956,3587,369
차대차,기타,06월,3503,35,5180,1035,3712,433
차대차,기타,07월,3635,30,5457,1086,3960,411
차대차,기타,08월,3530,15,5345,1035,3870,440
차대차,기타,09월,3482,27,5193,1016,3782,395
차대차,기타,10월,3823,38,5626,1116,4106,404
차대차,기타,11월,3853,32,5838,1087,4321,430
차대차,기타,12월,3470,30,5200,894,3924,382
차량단독,전도,01월,71,4,85,32,44,9
차량단독,전도,02월,83,11,79,39,31,9
차량단독,전도,03월,100,8,116,39,44,33
차량단독,전도,04월,122,10,136,55,61,20
차량단독,전도,05월,98,11,102,44,35,23
차량단독,전도,06월,110,8,111,45,44,22
차량단독,전도,07월,131,9,139,57,52,30
차량단독,전도,08월,126,13,128,49,59,20
차량단독,전도,09월,106,8,129,47,53,29
차량단독,전도,10월,98,7,104,45,40,19
차량단독,전도,11월,75,6,77,41,30,6
차량단독,전도,12월,80,6,83,21,44,18
차량단독,전복,01월,21,4,33,13,12,8
차량단독,전복,02월,17,1,23,9,10,4
차량단독,전복,03월,23,2,23,9,11,3
차량단독,전복,04월,20,5,23,18,4,1
차량단독,전복,05월,23,2,29,12,11,6
차량단독,전복,06월,18,3,24,11,10,3
차량단독,전복,07월,22,4,21,9,4,8
차량단독,전복,08월,20,2,24,17,6,1
차량단독,전복,09월,14,2,21,10,7,4
차량단독,전복,10월,20,4,18,7,8,3
차량단독,전복,11월,16,2,23,9,10,4
차량단독,전복,12월,18,3,20,6,8,6
차량단독,공작물충돌,01월,304,29,423,165,200,58
차량단독,공작물충돌,02월,322,35,382,148,182,52
차량단독,공작물충돌,03월,293,28,363,141,171,51
차량단독,공작물충돌,04월,329,41,397,156,190,51
차량단독,공작물충돌,05월,339,39,406,160,188,58
차량단독,공작물충돌,06월,305,27,384,146,183,55
차량단독,공작물충돌,07월,294,34,388,145,179,64
차량단독,공작물충돌,08월,363,42,465,196,203,66
차량단독,공작물충돌,09월,284,38,342,145,148,49
차량단독,공작물충돌,10월,289,35,337,138,153,46
차량단독,공작물충돌,11월,288,35,369,152,161,56
차량단독,공작물충돌,12월,285,25,334,131,157,46
차량단독,주/정차차량 충돌,01월,2,0,2,0,1,1
차량단독,주/정차차량 충돌,03월,1,0,2,1,1,0
차량단독,주/정차차량 충돌,04월,4,0,5,3,2,0
차량단독,주/정차차량 충돌,05월,2,1,1,0,0,1
차량단독,주/정차차량 충돌,07월,3,0,3,2,1,0
차량단독,주/정차차량 충돌,08월,1,0,1,0,1,0
차량단독,주/정차차량 충돌,11월,2,0,2,1,1,0
차량단독,주/정차차량 충돌,12월,1,0,1,1,0,0
차량단독,도로이탈,01월,32,6,42,22,16,4
차량단독,도로이탈,02월,24,5,25,11,9,5
차량단독,도로이탈,03월,42,10,49,29,16,4
차량단독,도로이탈,04월,41,10,36,14,14,8
차량단독,도로이탈,05월,39,17,31,15,11,5
차량단독,도로이탈,06월,38,6,41,18,15,8
차량단독,도로이탈,07월,39,15,35,20,10,5
차량단독,도로이탈,08월,36,6,41,23,12,6
차량단독,도로이탈,09월,50,8,55,26,20,9
차량단독,도로이탈,10월,41,11,48,22,22,4
차량단독,도로이탈,11월,32,6,44,23,15,6
차량단독,도로이탈,12월,43,10,49,23,16,10
차량단독,도로이탈,01월,13,1,19,11,7,1
차량단독,도로이탈,02월,24,1,35,10,14,11
차량단독,도로이탈,03월,25,3,26,12,7,7
차량단독,도로이탈,04월,21,3,26,15,10,1
차량단독,도로이탈,05월,23,2,31,13,14,4
차량단독,도로이탈,06월,14,2,16,8,4,4
차량단독,도로이탈,07월,23,3,34,21,9,4
차량단독,도로이탈,08월,15,4,18,7,9,2
차량단독,도로이탈,09월,24,1,33,13,10,10
차량단독,도로이탈,10월,21,4,30,13,17,0
차량단독,도로이탈,11월,14,4,15,3,9,3
차량단독,도로이탈,12월,11,5,12,6,5,1
차량단독,기타,01월,281,7,312,100,170,42
차량단독,기타,02월,259,5,292,91,176,25
차량단독,기타,03월,321,8,363,127,205,31
차량단독,기타,04월,338,12,362,138,191,33
차량단독,기타,05월,373,13,436,166,221,49
차량단독,기타,06월,381,18,411,135,231,45
차량단독,기타,07월,391,20,422,137,236,49
차량단독,기타,08월,373,18,393,138,218,37
차량단독,기타,09월,332,11,365,126,201,38
차량단독,기타,10월,372,12,392,143,207,42
차량단독,기타,11월,347,11,376,126,192,58
차량단독,기타,12월,302,9,345,111,192,42
철길건널목,철길건널목,02월,1,1,0,0,0,0
철길건널목,철길건널목,06월,1,1,0,0,0,0
철길건널목,철길건널목,10월,1,0,6,1,4,1
